model,segment_size,hidden_size,peak,time
graph,1,1,821.14453125,1.69
graph,1,2,1083.41796875,2.71
graph,1,3,1254.62109375,2.41
graph,1,4,1707.59765625,2.63
graph,1,5,2026.34765625,4.06
graph,1,6,1951.984375,6.01
graph,1,7,2170.4375,6.29
graph,1,8,2492.1484375,5.48
graph,1,9,3169.15234375,9.38
graph,1,10,3453.859375,9.83
graph,1,11,3065.40625,13.71
graph,1,12,3288.91015625,14.36
graph,1,13,3537.0390625,18.38
graph,1,14,3760.890625,20.68
graph,1,15,3984.58203125,17.69
graph,1,16,4208.29296875,16.83
graph,1,17,4480.83984375,30.00
graph,1,18,4705.00390625,28.73
graph,1,19,4928.546875,30.26
graph,1,20,5152.42578125,30.77
graph,1,21,5400.94140625,36.84
graph,1,22,5624.44921875,38.50
graph,1,23,5848.03125,34.34
graph,1,24,6072.296875,34.62
graph,1,25,6344.48046875,43.48
graph,1,26,6568.31640625,42.76
graph,1,27,6792.0703125,43.80
graph,1,28,7015.87109375,46.04
graph,1,29,7263.85546875,48.84
graph,1,30,7448.4921875,48.41
graph,1,31,7553.6875,48.80
graph,1,32,OM,0
graph,2,1,811.9296875,6.32
graph,2,2,1117.20703125,4.95
graph,2,3,1377.78125,5.98
graph,2,4,1748.484375,6.92
graph,2,5,2039.50390625,12.56
graph,2,6,2006.02734375,15.78
graph,2,7,2137.64453125,16.87
graph,2,8,2691.875,15.98
graph,2,9,3001.68359375,34.29
graph,2,10,3170.2890625,34.00
graph,2,11,2772.375,39.72
graph,2,12,2962.48828125,45.23
graph,2,13,3176.67578125,54.29
graph,2,14,3391.33203125,50.44
graph,2,15,3581.41796875,56.09
graph,2,16,3771.37109375,52.15
graph,2,17,4010.22265625,78.28
graph,2,18,4200.34765625,82.21
graph,2,19,4414.96484375,85.49
graph,2,20,4605.2109375,87.42
graph,2,21,4819.87890625,91.22
graph,2,22,5034.33203125,102.25
graph,2,23,5224.34765625,90.51
graph,2,24,5414.07421875,93.22
graph,2,25,5653.38671875,128.35
graph,2,26,5843.375,121.27
graph,2,27,6057.6015625,124.35
graph,2,28,6248.16015625,134.12
graph,2,29,6346.24609375,140.17
graph,2,30,6513.97265625,137.77
graph,2,31,6703.984375,127.01
graph,2,32,6892.8984375,135.66
graph,3,1,822.796875,4.55
graph,3,2,1084.7578125,4.95
graph,3,3,1375.83984375,5.92
graph,3,4,2077.20703125,7.06
graph,3,5,2062.10546875,12.37
graph,3,6,2120.16015625,14.82
graph,3,7,2294.86328125,15.20
graph,3,8,3179.71484375,15.47
graph,3,9,3088.33203125,27.07
graph,3,10,3302.90234375,28.74
graph,3,11,2798.04296875,39.25
graph,3,12,2996.90234375,38.70
graph,3,13,3220.72265625,46.41
graph,3,14,3420.16796875,47.01
graph,3,15,3618.9921875,48.64
graph,3,16,3818.59765625,47.15
graph,3,17,4066.7109375,72.40
graph,3,18,4265.49609375,74.90
graph,3,19,4464.82421875,75.66
graph,3,20,4664.6484375,76.80
graph,3,21,4888.0859375,79.87
graph,3,22,5087.30859375,90.06
graph,3,23,5286.6640625,89.63
graph,3,24,5485.8984375,85.25
graph,3,25,5734.47265625,110.91
graph,3,26,5934.265625,116.05
graph,3,27,6132.81640625,111.22
graph,3,28,6331.56640625,117.36
graph,3,29,6554.390625,128.08
graph,3,30,6750.953125,137.64
graph,3,31,6787.68359375,133.85
graph,3,32,6978.94140625,131.43
graph,4,1,977.3359375,4.74
graph,4,2,1429.25,4.59
graph,4,3,1827.12890625,4.86
graph,4,4,2639.1875,7.85
graph,4,5,2957.53515625,11.74
graph,4,6,2899.91015625,14.22
graph,4,7,3160.18359375,14.71
graph,4,8,4134.109375,14.58
graph,4,9,4639.234375,28.26
graph,4,10,5169.68359375,25.91
graph,4,11,4281.51953125,37.66
graph,4,12,4615.65234375,36.11
graph,4,13,4973.79296875,45.57
graph,4,14,5308.12109375,44.35
graph,4,15,5641.6484375,48.70
graph,4,16,5975.75390625,47.14
graph,4,17,6358.8359375,67.42
graph,4,18,6690.44140625,66.40
graph,4,19,6883.80859375,69.28
graph,4,20,OM,0
graph,5,1,1003.09375,3.29
graph,5,2,1466.32421875,3.88
graph,5,3,1892.21484375,4.07
graph,5,4,2875.03515625,5.81
graph,5,5,3224.4375,9.31
graph,5,6,3053.0,11.99
graph,5,7,3426.953125,12.69
graph,5,8,4235.33984375,11.17
graph,5,9,4998.28515625,22.93
graph,5,10,5430.2421875,23.91
graph,5,11,4652.83203125,31.02
graph,5,12,5020.40234375,30.28
graph,5,13,5412.42578125,39.93
graph,5,14,5780.44140625,36.81
graph,5,15,6147.8515625,37.52
graph,5,16,6515.515625,40.49
graph,5,17,6932.33984375,58.15
graph,5,18,7299.6015625,57.51
graph,5,19,7667.3984375,59.18
graph,5,20,8035.1171875,59.50
graph,5,21,8426.9453125,71.84
graph,5,22,8795.2109375,77.58
graph,5,23,9162.77734375,73.32
graph,5,24,9529.96875,77.64
graph,5,25,9947.16796875,95.56
graph,5,26,10314.77734375,95.18
graph,5,27,10682.55078125,97.86
graph,5,28,11050.16015625,98.36
graph,5,29,11343.2734375,108.97
graph,5,30,OM,0
sequential,1,16,1108.81640625,1.74
